ano,media_valor_dolar
2010,1.7587712
2011,1.6731120000000002
2012,1.9543645418326694
2013,2.159913833992095
2014,2.3541094861660077
2015,3.3380676
2016,3.4843694779116463
2017,3.1919212851405625
2018,3.6551728
2019,3.945506719367589
2020,5.157166533864542
2021,5.399772983870968
2022,5.162199593495935
2023,4.9947477911646585
2024,5.391412648221344
